Campaign_Goal,Channel_Used,Target_Audience,Language,Location,Customer_Segment,Season,Duration_Days,Acquisition_Cost_Num,pred_ROI,pred_Conversion_Rate,pred_CTR,pred_Engagement_Score,score
Increase Sales,Instagram,Men 18-24,English,New York,Home,Winter,43,8625.525436744836,4.341482455449171,0.0799651675131202,0.33016586541760384,5.511828500467921,0.3644392318730124
Increase Sales,Twitter,Women 45-60,English,New York,Home,Winter,15,8627.139562859731,4.341044732543751,0.08021819433073678,0.3301636614344503,5.476934692641031,0.3642447691592079
Increase Sales,Twitter,Women 35-44,English,New York,Home,Winter,23,8626.436729015935,4.331623180290388,0.08014718163152332,0.3301643497604969,5.478779972598032,0.36217705440156406
Increase Sales,Instagram,Men 25-34,English,Miami,Fashion,Winter,21,8626.99336977028,4.327508745171443,0.07878637056821382,0.33016742440274643,5.505014305829853,0.3543076477264871
Increase Sales,Twitter,Men 45-60,Spanish,New York,Home,Winter,36,8679.580449147841,4.268181294950275,0.08056116088625334,0.3301653217966803,5.432785229162291,0.35094889163679194
Increase Sales,Twitter,Men 18-24,French,Miami,Fashion,Winter,36,8615.706705238877,4.246333060297628,0.08059908250705577,0.3301644844973579,5.460910687829375,0.3485217452198554
Increase Sales,Instagram,Women 35-44,French,New York,Health,Winter,16,8627.298332912625,4.223248541016463,0.07955219794094943,0.33016790954623326,5.4970266523395175,0.33959111982789975
Increase Sales,Instagram,Women 25-34,French,Las Vegas,Fashion,Winter,35,8622.123092894728,4.161066365512666,0.07960743922519095,0.3301698380297826,5.496912342621432,0.3285714342167428
Increase Sales,Instagram,Women 25-34,Spanish,Las Vegas,Food,Winter,26,6690.060362672849,4.206166057087518,0.07994103754095594,0.3279989237185929,5.54237883774146,0.3278189013066994
Increase Sales,Instagram,Women 25-34,Spanish,New York,Food,Winter,39,8616.795887139826,4.14102543497548,0.08015957195510463,0.33016652994157747,5.484336515539095,0.32769147482623107
Increase Sales,Instagram,Women 25-34,English,Las Vegas,Fashion,Winter,40,8621.958279913464,4.132868920724027,0.07979905350949172,0.3301698380297826,5.51707297062439,0.3255568190143208
Increase Sales,Instagram,Men 25-34,French,Los Angeles,Fashion,Winter,29,8617.08875643951,4.116108419527053,0.08046669086924975,0.3301659512502641,5.469973575271375,0.3243422638855606
Increase Sales,Instagram,Women 25-34,Spanish,Austin,Food,Winter,16,8623.502311263695,4.118602780441322,0.08001998881081501,0.33016652994157747,5.515762338745647,0.32422781102066084
Increase Sales,Instagram,Men 45-60,Spanish,New York,Home,Winter,41,8621.776600763367,4.119794402319959,0.07998199510897004,0.3301675920308486,5.515696331867344,0.3242148718562041
Increase Sales,Instagram,Men 35-44,Spanish,Las Vegas,Food,Winter,29,7497.463009643428,4.002791791184899,0.08445748653614427,0.3290177371619732,5.523056040915448,0.32375249728167377
Increase Sales,Twitter,Men 45-60,French,New York,Home,Winter,33,8620.098650144797,4.114239977733161,0.08057744243364214,0.3301653217966803,5.44926151467526,0.32369394263211404
